Cabinet door styles,Cabinet material and finish styles,Color Palette,Cabinet Hardware and metals,Countertops and backsplash,prompt,style,id
,,Warm white,Oil-rubbed bronze rounded knob,,"A wide-angle shot of a nice, updated kitchen with Transitional interior design style. The Color Palette should include Warm white. The Cabinet Hardware should include Oil-rubbed bronze rounded knob, but don't make it the focus of the image.",Transitional,106
,Cherry with a glaze finish,Soft grey,,Concrete,"A wide-angle shot of a nice, updated kitchen with Transitional interior design style. The Cabinet material and finish should be Cherry with a glaze finish, but don't make it the focus of the image. The Color Palette should include Soft grey. The Countertops and backsplash should include Concrete, but don't make it the focus of the image.",Transitional,107
,Oak with a paint finish,,,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Transitional interior design style. The Cabinet material and finish should be Oak with a paint finish, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Transitional,108
Raised panel door,,,Pewter decorative knob,,"A wide-angle shot of a nice, updated kitchen with Transitional interior design style. The Cabinet door should be Raised panel, but don't make it the focus of the image. The Cabinet Hardware should include Pewter decorative knob, but don't make it the focus of the image.",Transitional,109
,Maple with paint finish,Ivory or cream,Polished chrome with bin-style pull,Marble,"A wide-angle shot of a nice, updated kitchen with Art Deco interior design style. The Cabinet material and finish should be Maple with paint finish, but don't make it the focus of the image. The Color Palette should include Ivory or cream. The Cabinet Hardware should include Polished chrome with bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Art Deco,110
,Acrylic,Ivory or cream,Polished chrome with bin-style pull,Tile - glass,"A wide-angle shot of a nice, updated kitchen with Art Deco interior design style. The Cabinet material and finish should be Acrylic, but don't make it the focus of the image. The Color Palette should include Ivory or cream. The Cabinet Hardware should include Polished chrome with bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - glass, but don't make it the focus of the image.",Art Deco,111
Slab door,Walnut with glaze finish,Charcoal grey,,,"A wide-angle shot of a nice, updated kitchen with Art Deco interior design style. The Cabinet door should be Slab, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with glaze finish, but don't make it the focus of the image. The Color Palette should include Charcoal grey.",Art Deco,112
Textured glass,Acrylic,Charcoal grey,,,"A wide-angle shot of a nice, updated kitchen with Art Deco interior design style. The Cabinet door should be Textured glass, but don't make it the focus of the image. The Cabinet material and finish should be Acrylic, but don't make it the focus of the image. The Color Palette should include Charcoal grey.",Art Deco,113
Textured glass,,Deep teal,Polished brass decorative knob,,"A wide-angle shot of a nice, updated kitchen with Art Deco interior design style. The Cabinet door should be Textured glass, but don't make it the focus of the image. The Color Palette should include Deep teal. The Cabinet Hardware should include Polished brass decorative knob, but don't make it the focus of the image.",Art Deco,114
,Maple with stain finish,Slate blue,Brushed satin nickel straight-bar pull,Soapstone,"A wide-angle shot of a nice, updated kitchen with Industrial interior design style. The Cabinet material and finish should be Maple with stain finish, but don't make it the focus of the image. The Color Palette should include Slate blue. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Soapstone, but don't make it the focus of the image.",Industrial,115
,,,Stainless steel bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Industrial interior design style. The Cabinet Hardware should include Stainless steel bin-style pull, but don't make it the focus of the image.",Industrial,116
,Oak with distressed finish,Charcoal grey,Brushed satin nickel straight-bar pull,Stainless steel,"A wide-angle shot of a nice, updated kitchen with Industrial interior design style. The Cabinet material and finish should be Oak with distressed finish, but don't make it the focus of the image. The Color Palette should include Charcoal grey. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Stainless steel, but don't make it the focus of the image.",Industrial,117
,Maple with stain finish,,Oil-rubbed bronze rounded knob,,"A wide-angle shot of a nice, updated kitchen with Industrial interior design style. The Cabinet material and finish should be Maple with stain finish, but don't make it the focus of the image. The Cabinet Hardware should include Oil-rubbed bronze rounded knob, but don't make it the focus of the image.",Industrial,118
,,Charcoal grey,Hammered pewter straight-bar pull,Stainless steel,"A wide-angle shot of a nice, updated kitchen with Industrial interior design style. The Color Palette should include Charcoal grey. The Cabinet Hardware should include Hammered pewter straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Stainless steel, but don't make it the focus of the image.",Industrial,119
Inset panel door - non-beaded,Laminate or eco veneer,Sage green,,,"A wide-angle shot of a nice, updated kitchen with Mid-Century interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image. The Cabinet material and finish should be Laminate or eco veneer, but don't make it the focus of the image. The Color Palette should include Sage green.",Mid-Century,120
,,Walnut brown,Polished chrome rounded knob,Tile - glass,"A wide-angle shot of a nice, updated kitchen with Mid-Century interior design style. The Color Palette should include Walnut brown. The Cabinet Hardware should include Polished chrome rounded knob, but don't make it the focus of the image. The Countertops and backsplash should include Tile - glass, but don't make it the focus of the image.",Mid-Century,121
Inset panel door - non-beaded,Walnut with natural stain,Sage green,Stainless steel bin-style pull,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Mid-Century interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with natural stain, but don't make it the focus of the image. The Color Palette should include Sage green. The Cabinet Hardware should include Stainless steel bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Mid-Century,122
,Birch with painted finish,,Polished chrome rounded knob,,"A wide-angle shot of a nice, updated kitchen with Mid-Century interior design style. The Cabinet material and finish should be Birch with painted finish, but don't make it the focus of the image. The Cabinet Hardware should include Polished chrome rounded knob, but don't make it the focus of the image.",Mid-Century,123
,,,,,"A wide-angle shot of a nice, updated kitchen with Mid-Century interior design style.",Mid-Century,124
,,Light grey,,,"A wide-angle shot of a nice, updated kitchen with Minimalist interior design style. The Color Palette should include Light grey.",Minimalist,125
,Walnut with clear stain finish,Soft white,,,"A wide-angle shot of a nice, updated kitchen with Minimalist interior design style. The Cabinet material and finish should be Walnut with clear stain finish, but don't make it the focus of the image. The Color Palette should include Soft white.",Minimalist,126
Slab door,Walnut with clear stain finish,,,,"A wide-angle shot of a nice, updated kitchen with Minimalist interior design style. The Cabinet door should be Slab, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with clear stain finish, but don't make it the focus of the image.",Minimalist,127
,Birch with paint finish,,,,"A wide-angle shot of a nice, updated kitchen with Minimalist interior design style. The Cabinet material and finish should be Birch with paint finish, but don't make it the focus of the image.",Minimalist,128
Shaker door,,,Stainless steel bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Minimalist interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet Hardware should include Stainless steel bin-style pull, but don't make it the focus of the image.",Minimalist,129
Inset panel door - non-beaded,,,,,"A wide-angle shot of a nice, updated kitchen with Modern interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image.",Modern,130
Inset panel door - non-beaded,,Walnut brown,Brushed satin nickel straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Modern interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image. The Color Palette should include Walnut brown. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image.",Modern,131
Slab door,Maple with paint,,,Concrete,"A wide-angle shot of a nice, updated kitchen with Modern interior design style. The Cabinet door should be Slab, but don't make it the focus of the image. The Cabinet material and finish should be Maple with paint, but don't make it the focus of the image. The Countertops and backsplash should include Concrete, but don't make it the focus of the image.",Modern,132
,Laminate,Soft white,Brushed satin nickel straight-bar pull,Marble,"A wide-angle shot of a nice, updated kitchen with Modern interior design style. The Cabinet material and finish should be Laminate, but don't make it the focus of the image. The Color Palette should include Soft white. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Modern,133
,Maple with paint,,Stainless steel bin-style pull,Marble,"A wide-angle shot of a nice, updated kitchen with Modern interior design style. The Cabinet material and finish should be Maple with paint, but don't make it the focus of the image. The Cabinet Hardware should include Stainless steel bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Marble, but don't make it the focus of the image.",Modern,134
Shaker door,Walnut with a natural stain,,Brushed satin nickel straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Modern Farmhouse interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with a natural stain, but don't make it the focus of the image. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image.",Modern Farmhouse,135
,Oak with a stain finish,Soft white,Oil-rubbed bronze bin-style pull,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Modern Farmhouse interior design style. The Cabinet material and finish should be Oak with a stain finish, but don't make it the focus of the image. The Color Palette should include Soft white. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Modern Farmhouse,136
Inset panel door - non-beaded,Hickory with a distressed finish,Warm browns,,Beadboard,"A wide-angle shot of a nice, updated kitchen with Modern Farmhouse interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image. The Cabinet material and finish should be Hickory with a distressed finish, but don't make it the focus of the image. The Color Palette should include Warm browns. The Countertops and backsplash should include Beadboard, but don't make it the focus of the image.",Modern Farmhouse,137
Inset panel door - non-beaded,Walnut with a natural stain,Soft white,,Butcher block,"A wide-angle shot of a nice, updated kitchen with Modern Farmhouse interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with a natural stain, but don't make it the focus of the image. The Color Palette should include Soft white. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Modern Farmhouse,138
,,,,,"A wide-angle shot of a nice, updated kitchen with Modern Farmhouse interior design style.",Modern Farmhouse,139
Recessed panel door,,Sky blue,Oil-rubbed bronze bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Mountain West interior design style. The Cabinet door should be Recessed panel, but don't make it the focus of the image. The Color Palette should include Sky blue. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image.",Mountain West,140
Inset panel door - beaded,,Woodland green,,,"A wide-angle shot of a nice, updated kitchen with Mountain West interior design style. The Cabinet door should be Inset panel - beaded, but don't make it the focus of the image. The Color Palette should include Woodland green.",Mountain West,141
Recessed panel door,Walnut with a natural finish,,,Quartz,"A wide-angle shot of a nice, updated kitchen with Mountain West interior design style. The Cabinet door should be Recessed panel, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with a natural finish, but don't make it the focus of the image. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Mountain West,142
Beadboard door,,,Oil-rubbed bronze bin-style pull,Granite,"A wide-angle shot of a nice, updated kitchen with Mountain West interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Granite, but don't make it the focus of the image.",Mountain West,143
,Walnut with a natural finish,Stone grey ,Oil-rubbed bronze bin-style pull,,"A wide-angle shot of a nice, updated kitchen with Mountain West interior design style. The Cabinet material and finish should be Walnut with a natural finish, but don't make it the focus of the image. The Color Palette should include Stone grey . The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image.",Mountain West,144
,Walnut stain finish,,,,"A wide-angle shot of a nice, updated kitchen with Organic Modern interior design style. The Cabinet material and finish should be Walnut stain finish, but don't make it the focus of the image.",Organic Modern,145
,Oak glaze finish,,Oil-rubbed bronze rounded knob,Bamboo,"A wide-angle shot of a nice, updated kitchen with Organic Modern interior design style. The Cabinet material and finish should be Oak glaze finish, but don't make it the focus of the image. The Cabinet Hardware should include Oil-rubbed bronze rounded knob, but don't make it the focus of the image. The Countertops and backsplash should include Bamboo, but don't make it the focus of the image.",Organic Modern,146
,Walnut stain finish,Earthy taupe,,,"A wide-angle shot of a nice, updated kitchen with Organic Modern interior design style. The Cabinet material and finish should be Walnut stain finish, but don't make it the focus of the image. The Color Palette should include Earthy taupe.",Organic Modern,147
Shaker door,,Warm browns,Wood knob,,"A wide-angle shot of a nice, updated kitchen with Organic Modern interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Color Palette should include Warm browns. The Cabinet Hardware should include Wood knob, but don't make it the focus of the image.",Organic Modern,148
,Birch eco veneer ?,,Brushed satin nickel straight-bar pull,Quartz,"A wide-angle shot of a nice, updated kitchen with Organic Modern interior design style. The Cabinet material and finish should be Birch eco veneer ?, but don't make it the focus of the image. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Organic Modern,149
,Hickory with distressed finish,,Leather straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Rustic interior design style. The Cabinet material and finish should be Hickory with distressed finish, but don't make it the focus of the image. The Cabinet Hardware should include Leather straight-bar pull, but don't make it the focus of the image.",Rustic,150
Beadboard door,,,Leather straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Rustic interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Cabinet Hardware should include Leather straight-bar pull, but don't make it the focus of the image.",Rustic,151
,Alder with glaze,Earthy green,,Slate,"A wide-angle shot of a nice, updated kitchen with Rustic interior design style. The Cabinet material and finish should be Alder with glaze, but don't make it the focus of the image. The Color Palette should include Earthy green. The Countertops and backsplash should include Slate, but don't make it the focus of the image.",Rustic,152
Raised panel door,,,Antique copper decorative knob,,"A wide-angle shot of a nice, updated kitchen with Rustic interior design style. The Cabinet door should be Raised panel, but don't make it the focus of the image. The Cabinet Hardware should include Antique copper decorative knob, but don't make it the focus of the image.",Rustic,153
Inset panel door - beaded,,,Oil-rubbed bronze bin-style pull,Slate,"A wide-angle shot of a nice, updated kitchen with Rustic interior design style. The Cabinet door should be Inset panel - beaded, but don't make it the focus of the image. The Cabinet Hardware should include Oil-rubbed bronze bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Slate, but don't make it the focus of the image.",Rustic,154
Shaker door,Maple with stain,Light grey,Wood rounded know,,"A wide-angle shot of a nice, updated kitchen with Scandinavian interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet material and finish should be Maple with stain, but don't make it the focus of the image. The Color Palette should include Light grey. The Cabinet Hardware should include Wood rounded know, but don't make it the focus of the image.",Scandinavian,155
Textured glass,Birch with paint,Light grey,Wood rounded know,Quartz,"A wide-angle shot of a nice, updated kitchen with Scandinavian interior design style. The Cabinet door should be Textured glass, but don't make it the focus of the image. The Cabinet material and finish should be Birch with paint, but don't make it the focus of the image. The Color Palette should include Light grey. The Cabinet Hardware should include Wood rounded know, but don't make it the focus of the image. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Scandinavian,156
Recessed panel door,Oak with white paint,,,,"A wide-angle shot of a nice, updated kitchen with Scandinavian interior design style. The Cabinet door should be Recessed panel, but don't make it the focus of the image. The Cabinet material and finish should be Oak with white paint, but don't make it the focus of the image.",Scandinavian,157
Slab door,,,Leather straight-bar pull,Tile - subway,"A wide-angle shot of a nice, updated kitchen with Scandinavian interior design style. The Cabinet door should be Slab, but don't make it the focus of the image. The Cabinet Hardware should include Leather straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Tile - subway, but don't make it the focus of the image.",Scandinavian,158
,Oak with white paint,,Wood rounded know,,"A wide-angle shot of a nice, updated kitchen with Scandinavian interior design style. The Cabinet material and finish should be Oak with white paint, but don't make it the focus of the image. The Cabinet Hardware should include Wood rounded know, but don't make it the focus of the image.",Scandinavian,159
,,,Hammered pewter rounded knob,,"A wide-angle shot of a nice, updated kitchen with Southwestern interior design style. The Cabinet Hardware should include Hammered pewter rounded knob, but don't make it the focus of the image.",Southwestern,160
Beadboard door,Walnut with natural finish,Deep turquoise,,,"A wide-angle shot of a nice, updated kitchen with Southwestern interior design style. The Cabinet door should be Beadboard, but don't make it the focus of the image. The Cabinet material and finish should be Walnut with natural finish, but don't make it the focus of the image. The Color Palette should include Deep turquoise.",Southwestern,161
,Alder with stain finish,,Wrought iron straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Southwestern interior design style. The Cabinet material and finish should be Alder with stain finish, but don't make it the focus of the image. The Cabinet Hardware should include Wrought iron straight-bar pull, but don't make it the focus of the image.",Southwestern,162
,Pecan with stain finish,Warm terra-cotta,,,"A wide-angle shot of a nice, updated kitchen with Southwestern interior design style. The Cabinet material and finish should be Pecan with stain finish, but don't make it the focus of the image. The Color Palette should include Warm terra-cotta.",Southwestern,163
,Alder with stain finish,,Hammered pewter rounded knob,,"A wide-angle shot of a nice, updated kitchen with Southwestern interior design style. The Cabinet material and finish should be Alder with stain finish, but don't make it the focus of the image. The Cabinet Hardware should include Hammered pewter rounded knob, but don't make it the focus of the image.",Southwestern,164
